NAME;COUNTY;COUNTRY;LATITUDE;LONGITUDE;COMPNAME;CONNNAME;CreationDate
NOT AVAILABLE;WHARTON;USA;29.269235;-96.266237;TRANSCONTINENTAL GAS P L CO;TRANSCONTINENTAL GAS P L CO;2022/01/08 17:00:16+00
NOT AVAILABLE;PLAQUEMINES;USA;29.29869;-89.647913;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;PLAQUEMINES;USA;29.29869;-89.647913;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
355163326;LAFOURCHE;USA;29.339301;-90.304149;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
355163327;LAFOURCHE;USA;29.344553;-90.30435;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
COLUMBIA REC;TERREBONNE;USA;29.379975;-90.463091;DISCOVERY PIPELINE CO;CGUL;2022/01/08 17:00:16+00
ISLE DE JEAN CHARLES;TERREBONNE;USA;29.379975;-90.463091;DISCOVERY PL CO;CGUL;2022/01/08 17:00:16+00
NOT AVAILABLE;TERREBONNE;USA;29.4111;-90.553437;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;PLAQUEMINES;USA;29.461504;-89.920059;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;PLAQUEMINES;USA;29.461504;-89.936448;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
GULF SOUTH INTERCONNECT;PLAQUEMINES;USA;29.461504;-89.936448;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
NOT AVAILABLE;WHARTON;USA;29.462307;-96.091434;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;WHARTON;USA;29.462307;-96.091434;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;NOT APPLICABLE;USA;29.524736;-91.436352;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
SABINE HENRY HUB - ACCT METER;VERMILION;USA;29.538304;-92.303104;TRUNKLINE GAS CO;SABN;2022/01/08 17:00:16+00
NOT AVAILABLE;COLORADO;USA;29.551352;-96.621553;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;ST. MARY;USA;29.552702;-91.354266;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
ANR - SHADYSIDE TO ANR;ST. MARY;USA;29.552702;-91.354266;SOUTHERN NATURAL GAS CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
GULF SOUTH PIPELINE CO;LAFOURCHE;USA;29.557669;-90.318708;DISCOVERY PL CO;GFSO;2022/01/08 17:00:16+00
BAYOU BLUE;LAFOURCHE;USA;29.57722;-90.603619;COLUMBIA GULF TRANS CO;COLUMBIA GULF TRANS CO;2022/01/08 17:00:16+00
NOT AVAILABLE;ST. MARY;USA;29.60601;-91.34641;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
BAYOU BLUE (FRM COLUMBIA);LAFOURCHE;USA;29.606656;-90.599568;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
CENTERVILLE (FROM ANR);ST. MARY;USA;29.627643;-91.349045;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
TERREBONNE;TERREBONNE;USA;29.628373;-90.85618;COLUMBIA GULF TRANS CO;COLUMBIA GULF TRANS CO;2022/01/08 17:00:16+00
NOT AVAILABLE;PLAQUEMINES;USA;29.63175;-89.695741;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
KOCH GATEWAY - SHADYSIDE TO SNG;ST. MARY;USA;29.633161;-91.432218;SOUTHERN NATURAL GAS CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
BAYOU SALE (TO SNG);ST. MARY;USA;29.634126;-91.339458;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
355160100;ST. MARY;USA;29.639296;-91.329408;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
SHADYSIDE;ST. MARY;USA;29.640414;-91.3397;COLUMBIA GULF TRANS CO;COLUMBIA GULF TRANS CO;2022/01/08 17:00:16+00
PATTERSON C.S. INTERCON;ST. MARY;USA;29.642175;-91.355847;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
TRUNKLINE - SHADYSIDE TO SNG;ST. MARY;USA;29.64417;-91.356047;SOUTHERN NATURAL GAS CO;TRUNKLINE GAS CO;2022/01/08 17:00:16+00
TENN - PATTERSON TO SNG;ST. MARY;USA;29.651897;-91.401795;SOUTHERN NATURAL GAS CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
PATTERSON (TRUNKLINE);ST. MARY;USA;29.652727;-91.355452;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
PATTERSON C.S. INT NO 1;ST. MARY;USA;29.652727;-91.355452;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
PATTERSON C.S. INT NO 2;ST. MARY;USA;29.652727;-91.355452;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
PATTERSON C.S. INTERC;ST. MARY;USA;29.652727;-91.355452;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
PATTERSON;ST. MARY;USA;29.652727;-91.355452;TRUNKLINE GAS CO;ANRP;2022/01/08 17:00:16+00
PATTERSON @ ANR;ST. MARY;USA;29.652727;-91.355452;TRUNKLINE GAS CO;ANRP;2022/01/08 17:00:16+00
SOUTHERN NATURAL@SHADYSIDE;ST. MARY;USA;29.653093;-91.399447;TRUNKLINE GAS CO;SOUT;2022/01/08 17:00:16+00
ANR - SHADYSIDE TO SNG;ST. MARY;USA;29.675388;-91.345625;SOUTHERN NATURAL GAS CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
RACELAND (FROM TEXAS EASTERN);LAFOURCHE;USA;29.675839;-90.605575;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;LAFOURCHE;USA;29.675839;-90.605575;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
SHADYSIDE (S.N.G.);ST. MARY;USA;29.692794;-91.372165;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;ST. CHARLES;USA;29.6982;-90.256635;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
ANRP;ST. MARY;USA;29.703212;-91.466429;NAUTILUS PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
GFSO;ST. MARY;USA;29.70627;-91.45945;NAUTILUS PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
TENN 800 LEG;ST. MARY;USA;29.70627;-91.45945;NAUTILUS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
TXGS;ST. MARY;USA;29.70627;-91.45945;NAUTILUS PIPELINE CO;TEXAS GAS TRANSMISSION CO;2022/01/08 17:00:16+00
CENTERVILLE (FROM TRUNKLINE);ST. MARY;USA;29.706304;-91.459392;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
NAUTILUS (FROM NAUTILUS;ST. MARY;USA;29.706304;-91.459392;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
208234900;ST. MARY;USA;29.706304;-91.459392;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;ST. MARY;USA;29.706304;-91.459392;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
TEXAS GAS @ CENTERVILLE;ST. MARY;USA;29.706304;-91.459392;TRUNKLINE GAS CO;TXGS;2022/01/08 17:00:16+00
GARDEN CITY;ST. MARY;USA;29.706924;-91.466933;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
COLUMBIA GULF@CENTERVILLE;ST. MARY;USA;29.71166;-91.472407;TRUNKLINE GAS CO;CGUL;2022/01/08 17:00:16+00
TENNESSEE @ CENTERVILLE;ST. MARY;USA;29.7264;-91.49336;TRUNKLINE GAS CO;TENN;2022/01/08 17:00:16+00
CENTANA/NGPL #3 JEFFERSON;JEFFERSON;USA;29.759102;-93.935785;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
NGPL/KMLP  CAMERON;CAMERON;USA;29.765728;-93.645412;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
TRNSCO/NGPL JOHNSONS BAYOU SW CAMER;CAMERON;USA;29.767377;-93.64367;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
208233835;CAMERON;USA;29.769052;-93.637509;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
JOHNSON BAYOU (UTOS);CAMERON;USA;29.770231;-93.671717;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
TENNESSEE (99.45);CAMERON;USA;29.781446;-93.610834;STINGRAY PIPELINE CO;TENN;2022/01/08 17:00:16+00
TENNESSEE (99.45);CAMERON;USA;29.781446;-93.610834;STINGRAY PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
ANR (101.62);CAMERON;USA;29.787899;-93.613306;STINGRAY PIPELINE CO;ANRP;2022/01/08 17:00:16+00
ANR (101.62);CAMERON;USA;29.787899;-93.613306;STINGRAY PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
NGPL  LOUISIANA M/L (103.36);CAMERON;USA;29.78816;-93.613408;STINGRAY PIPELINE CO;NGPL;2022/01/08 17:00:16+00
NGPL  LOUISIANA M/L (103.36);CAMERON;USA;29.78816;-93.613408;STINGRAY PIPELINE CO;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
NOT AVAILABLE;CAMERON;USA;29.798404;-93.029515;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
CAMERON (FROM TENN GAS);CAMERON;USA;29.802944;-93.29568;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
CAMERON (TENN TO ZAPATA);CAMERON;USA;29.802944;-93.29568;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
2082333848;CAMERON;USA;29.802944;-93.29568;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
RACELAND;LAFOURCHE;USA;29.80599;-90.836373;DISCOVERY PIPELINE CO;TRAN;2022/01/08 17:00:16+00
THIBODAUX (THRU TETC LEASE);LAFOURCHE;USA;29.80599;-90.836373;DISCOVERY PL CO;TRAN;2022/01/08 17:00:16+00
NOT AVAILABLE;WALLER;USA;29.814248;-95.872608;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
400820600;ST. BERNARD;USA;29.825499;-89.817533;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
TENN - TOCA TO SNG;ST. BERNARD;USA;29.826076;-89.817721;SOUTHERN NATURAL GAS CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;ST. BERNARD;USA;29.826076;-89.817721;SOUTHERN NATURAL GAS CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
400820575;ST. BERNARD;USA;29.827885;-89.820615;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;HARRIS;USA;29.8456;-95.836096;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;HARRIS;USA;29.8456;-95.836096;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
208233842;CAMERON;USA;29.863799;-93.09492;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
208233846;CAMERON;USA;29.863799;-93.09492;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;HARRIS;USA;29.881886;-95.799399;TRUNKLINE GAS CO;TENN;2022/01/08 17:00:16+00
NOT AVAILABLE;HARRIS;USA;29.881886;-95.799399;TRUNKLINE GAS CO;TENN;2022/01/08 17:00:16+00
SOUTHEAST GUEYDAN;VERMILION;USA;29.888979;-92.286869;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
ERATH (FROM NGPL);VERMILION;USA;29.892096;-92.0576;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
ERATH (FROM SEA ROBIN);VERMILION;USA;29.892096;-92.0576;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
SOUTHERN/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;SOUTHERN NATURAL GAS CO;2022/01/08 17:00:16+00
NGPL/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
TRUNKLINE/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;TRUNKLINE GAS CO;2022/01/08 17:00:16+00
SEA ROBIN/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;SEA ROBIN PIPELINE CO;2022/01/08 17:00:16+00
GULF SOUTH/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
CG/HENRY/HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;COLUMBIA GULF TRANS CO;2022/01/08 17:00:16+00
NGPL - ERATH TO SNG;VERMILION;USA;29.892096;-92.0576;SOUTHERN NATURAL GAS CO;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
SEA ROBIN - ERATH TO SNG;VERMILION;USA;29.892096;-92.0576;SOUTHERN NATURAL GAS CO;SEA ROBIN PIPELINE CO;2022/01/08 17:00:16+00
CG/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;COLUMBIA GULF TRANS CO;2022/01/08 17:00:16+00
GULF SOUTH/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
NGPL/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
SOUTHERN/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;SOUTHERN NATURAL GAS CO;2022/01/08 17:00:16+00
TEXAS GAS/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;TEXAS GAS TRANSMISSION CO;2022/01/08 17:00:16+00
TRANSCO/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;TRANSCONTINENTAL GAS P L CO;2022/01/08 17:00:16+00
TRUNKLINE/HENRY HUB;VERMILION;USA;29.892096;-92.0576;SABINE LLC;TRUNKLINE GAS CO;2022/01/08 17:00:16+00
ERATH;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;CGUL;2022/01/08 17:00:16+00
ERATH;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;GFSO;2022/01/08 17:00:16+00
ERATH;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;SABN;2022/01/08 17:00:16+00
ERATH;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;SOUT;2022/01/08 17:00:16+00
ERATH;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;TENN;2022/01/08 17:00:16+00
COLUMBIA GULF TRANSMISSION;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;COLUMBIA GULF TRANS CO;2022/01/08 17:00:16+00
GULF SOUTH PIPLINE;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
HENRY HUB- SABINE 2 - SOUTH;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;SABINE PIPELINE CO;2022/01/08 17:00:16+00
SOUTHERN NATURAL - (INTERCONNECT);VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;SOUTHERN NATURAL GAS CO;2022/01/08 17:00:16+00
SEA ROBIN - TGC INTERCONNECT;VERMILION;USA;29.892096;-92.0576;SEA ROBIN PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
SABINE - SNG TO SABINE;VERMILION;USA;29.892096;-92.0576;SOUTHERN NATURAL GAS CO;SABINE PIPELINE CO;2022/01/08 17:00:16+00
COL GULF/NGPL ERATH VERMILION;VERMILION;USA;29.896699;-92.069426;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
SABPL/NGPL HENRY HUB VERMILION;VERMILION;USA;29.896699;-92.069426;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
SNG/NGPL ERATH VERMILION;VERMILION;USA;29.896699;-92.069426;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
FGT TGC VERMILLION - FLA INT;VERMILION;USA;29.896714;-92.345744;TRUNKLINE GAS CO;FLDR;2022/01/08 17:00:16+00
DEEP LAKE (FROM NGPL);CAMERON;USA;29.897529;-93.128654;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;CAMERON;USA;29.902348;-92.985513;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
208233400;CAMERON;USA;29.909556;-92.980595;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;CAMERON;USA;29.909556;-92.980595;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
FGT/NGPL  JEFFERSON;JEFFERSON;USA;29.913136;-94.076084;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
NOT AVAILABLE;IBERIA;USA;29.914381;-91.796747;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;HARRIS;USA;29.923362;-95.755906;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;VERMILION;USA;29.933406;-92.307537;FLORIDA GAS TRANSMISSION;NGPL;2022/01/08 17:00:16+00
20823350;CAMERON;USA;29.935847;-92.98071;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
FLORIDA/KAPLAN;VERMILION;USA;29.938116;-92.302812;SABINE LLC;FLORIDA GAS TRANS CO;2022/01/08 17:00:16+00
TRANSCO/KAPLAN;VERMILION;USA;29.93914;-92.309032;SABINE LLC;TRANSCONTINENTAL GAS P L CO;2022/01/08 17:00:16+00
LAKESIDE;CAMERON;USA;29.958405;-92.851925;TRUNKLINE GAS CO;NGPL;2022/01/08 17:00:16+00
LAKE ARTHUR (NGPL);CAMERON;USA;29.963035;-92.825505;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
HPL/NGPL DEVERS LIBERTY;LIBERTY;USA;29.965516;-94.555792;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
FGT/NGPL  VERMILION;VERMILION;USA;29.989624;-92.325483;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
COL GULF/NGPL PECAN LAKE CAMERON;CAMERON;USA;29.992662;-92.64159;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
TRUNKLNE/NGPL LAKESIDE CAMERON;CAMERON;USA;29.992713;-92.641562;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
EUNICE COMPRESSOR;CAMERON;USA;29.992799;-92.806889;ANR PIPELINE CO;ANR PIPELINE CO;2022/01/08 17:00:16+00
